"std_plate","Sample","antigen","eth_mfi","dilution","png_mfi"
2,"S6","PTEX150",343.5,0.03125,1149
2,"S6","RBP2b.P87",1547,0.03125,2219.5
2,"S6","LF016",18035,0.03125,4745
2,"S6","PvCSS",334,0.03125,1105
2,"S7","LF005",855,0.015625,775
2,"S7","EBP",831,0.015625,1801.5
2,"S7","LF010",2835,0.015625,2970
2,"S7","PTEX150",198.5,0.015625,723.5
2,"S7","RBP2b.P87",926.5,0.015625,1399.5
2,"S7","LF016",13730,0.015625,2780.5
2,"S7","PvCSS",172,0.015625,622
2,"S8","LF005",467,0.0078125,439
2,"S8","EBP",497,0.0078125,1013.5
2,"S8","LF010",1728,0.0078125,1801
2,"S8","PTEX150",110,0.0078125,397
2,"S8","RBP2b.P87",540,0.0078125,822
2,"S8","LF016",9639.5,0.0078125,1628
2,"S8","PvCSS",93.5,0.0078125,295
2,"S9","LF005",260,0.00390625,241
2,"S9","EBP",280,0.00390625,597
2,"S9","LF010",1030.5,0.00390625,1088.5
2,"S9","PTEX150",75.5,0.00390625,227
2,"S9","RBP2b.P87",313,0.00390625,502
2,"S9","LF016",6368,0.00390625,928
2,"S9","PvCSS",56.5,0.00390625,161
2,"S10","LF005",144.5,0.001953125,136
2,"S10","EBP",173,0.001953125,328
2,"S10","LF010",595,0.001953125,635.5
2,"S10","PTEX150",52,0.001953125,127
2,"S10","RBP2b.P87",190,0.001953125,276
2,"S10","LF016",3986.5,0.001953125,554
2,"S10","PvCSS",33,0.001953125,90
3,"S1","LF005",14397,1,13034
3,"S1","EBP",12253.5,1,16598
3,"S1","LF010",27146,1,27119
3,"S1","PTEX150",4685,1,12117
3,"S1","RBP2b.P87",7745,1,9068
3,"S1","LF016",27061,1,24035.5
3,"S1","PvCSS",5816.5,1,13297
3,"S2","LF005",10529,0.5,10401
3,"S2","EBP",9314,0.5,14292
3,"S2","LF010",21775,0.5,23846
3,"S2","PTEX150",2568,0.5,8550
3,"S2","RBP2b.P87",6747,0.5,7869
3,"S2","LF016",28281,0.5,20925
3,"S2","PvCSS",3195.5,0.5,9639.5
3,"S3","LF005",6871,0.25,7633.5
3,"S3","EBP",6420,0.25,11719
3,"S3","LF010",15622,0.25,18861
3,"S3","PTEX150",1577,0.25,6181
3,"S3","RBP2b.P87",5098,0.25,6617
3,"S3","LF016",26803,0.25,17116
3,"S3","PvCSS",1731,0.25,6757
3,"S4","LF005",4205,0.125,5212
3,"S4","EBP",4119,0.125,8964.5
3,"S4","LF010",10636,0.125,14394
3,"S4","PTEX150",927,0.125,4318
3,"S4","RBP2b.P87",3232,0.125,5298
3,"S4","LF016",24361,0.125,13256.5
3,"S4","PvCSS",1018,0.125,4770
3,"S5","LF005",2285,0.0625,2764
3,"S5","EBP",2270,0.0625,5901
3,"S5","LF010",6894,0.0625,9667
3,"S5","PTEX150",544,0.0625,2381.5
3,"S5","RBP2b.P87",2150,0.0625,4021
3,"S5","LF016",20819.5,0.0625,8858.5
3,"S5","PvCSS",530,0.0625,2466
3,"S6","LF005",1369,0.03125,1653
3,"S6","EBP",1362.5,0.03125,3664
3,"S6","LF010",4745,0.03125,6301
3,"S6","PTEX150",318,0.03125,1436
3,"S6","RBP2b.P87",1368,0.03125,2347
3,"S6","LF016",17839.5,0.03125,5792
3,"S6","PvCSS",298,0.03125,1433.5
3,"S7","LF005",763.5,0.015625,961
3,"S7","EBP",787,0.015625,2134
3,"S7","LF010",2556,0.015625,3648.5
3,"S7","PTEX150",173,0.015625,882
3,"S7","RBP2b.P87",879,0.015625,1607
3,"S7","LF016",13191,0.015625,3248
3,"S7","PvCSS",164,0.015625,714
3,"S8","LF005",397,0.0078125,539
3,"S8","EBP",433,0.0078125,1228
3,"S8","LF010",1547,0.0078125,2171
3,"S8","PTEX150",103,0.0078125,508
3,"S8","RBP2b.P87",444,0.0078125,995
3,"S8","LF016",8662,0.0078125,1940
3,"S8","PvCSS",86,0.0078125,409.5
3,"S9","LF005",227,0.00390625,297.5
3,"S9","EBP",258,0.00390625,718
3,"S9","LF010",914.5,0.00390625,1295
3,"S9","PTEX150",68,0.00390625,274
3,"S9","RBP2b.P87",283,0.00390625,572.5
3,"S9","LF016",5932,0.00390625,1139.5
3,"S9","PvCSS",51,0.00390625,218
3,"S10","LF005",121,0.001953125,169
3,"S10","EBP",141.5,0.001953125,389
3,"S10","LF010",484.5,0.001953125,758
3,"S10","PTEX150",51,0.001953125,155
3,"S10","RBP2b.P87",169,0.001953125,304
3,"S10","LF016",3063,0.001953125,641
3,"S10","PvCSS",29,0.001953125,112
4,"S1","LF005",12848,1,13086
4,"S1","EBP",11256.5,1,16855.5
4,"S1","LF010",24330,1,27555
4,"S1","PTEX150",3651,1,11376
4,"S1","RBP2b.P87",7004,1,9049
4,"S1","LF016",26336,1,24213.5
4,"S1","PvCSS",4832,1,12719.5
4,"S2","LF005",9745,0.5,10394
4,"S2","EBP",8731,0.5,14339
4,"S2","LF010",19754,0.5,24027
4,"S2","PTEX150",2258,0.5,8426
4,"S2","RBP2b.P87",5993,0.5,7836.5
4,"S2","LF016",26020,0.5,20488.5
4,"S2","PvCSS",2769,0.5,9260
4,"S3","LF005",6752,0.25,7421
4,"S3","EBP",6290,0.25,11297
4,"S3","LF010",15053,0.25,18546
4,"S3","PTEX150",1462,0.25,6105
4,"S3","RBP2b.P87",4838,0.25,6263
4,"S3","LF016",25472.5,0.25,17507
4,"S3","PvCSS",1651,0.25,6707.5
4,"S4","LF005",4045.5,0.125,4985
4,"S4","EBP",3908,0.125,8925
4,"S4","LF010",10272,0.125,13923
4,"S4","PTEX150",843,0.125,3960
4,"S4","RBP2b.P87",3143,0.125,5412
4,"S4","LF016",24025,0.125,12740.5
4,"S4","PvCSS",941,0.125,4567
4,"S5","LF005",2324,0.0625,2710.5
4,"S5","EBP",2245.5,0.0625,6138
4,"S5","LF010",7193.5,0.0625,9490
4,"S5","PTEX150",518,0.0625,2412
4,"S5","RBP2b.P87",2053,0.0625,3827
4,"S5","LF016",21000,0.0625,8998
4,"S5","PvCSS",539,0.0625,2326
4,"S6","LF005",1352.5,0.03125,1610.5
4,"S6","EBP",1339,0.03125,3692
4,"S6","LF010",4536.5,0.03125,6331
4,"S6","PTEX150",293,0.03125,1462
4,"S6","RBP2b.P87",1404,0.03125,2282
4,"S6","LF016",17183.5,0.03125,5639.5
4,"S6","PvCSS",290,0.03125,1396
4,"S7","LF005",757,0.015625,940
4,"S7","EBP",756,0.015625,2076.5
4,"S7","LF010",2612,0.015625,3715
4,"S7","PTEX150",163,0.015625,862
4,"S7","RBP2b.P87",907,0.015625,1596
4,"S7","LF016",13172,0.015625,3307
4,"S7","PvCSS",150.5,0.015625,744
4,"S8","LF005",424,0.0078125,547
4,"S8","EBP",437,0.0078125,1238
4,"S8","LF010",1573.5,0.0078125,2173.5
4,"S8","PTEX150",99,0.0078125,509
4,"S8","RBP2b.P87",492,0.0078125,948.5
4,"S8","LF016",8946.5,0.0078125,2037
